Month,story_id,Region,Event count
Apr-2026,40202322,Maharashtra,16728
Apr-2026,40212669,Uttar Pradesh,16728
Apr-2026,40213429,Haryana,16705
Apr-2026,40206627,Uttar Pradesh,16669
Apr-2026,40191842,Uttar Pradesh,16668
Apr-2026,40197718,Uttar Pradesh,16644
Apr-2026,40200622,Delhi Division,16609
Apr-2026,40215887,Uttar Pradesh,16609
Apr-2026,40191854,Delhi Division,16597
Apr-2026,40199413,Uttar Pradesh,16586
Apr-2026,40200502,Gujarat,16573
Apr-2026,40220794,Uttar Pradesh,16502
Apr-2026,40213005,Uttar Pradesh,16480
Apr-2026,40209211,Rajasthan,16466
Apr-2026,40206678,Uttar Pradesh,16465
Apr-2026,40220233,Uttar Pradesh,16461
Apr-2026,40208715,Delhi Division,16454
Apr-2026,40217573,Uttar Pradesh,16442
Apr-2026,40200206,Punjab,16371
Apr-2026,40189158,Maharashtra,16311
Apr-2026,40205239,Bihar,16279
Apr-2026,40191298,Punjab,16252
Apr-2026,40219918,Maharashtra,16251
Apr-2026,40195750,Uttar Pradesh,16241
Apr-2026,40195190,Uttar Pradesh,16229
Apr-2026,40203358,Uttar Pradesh,16216
Apr-2026,40205296,Maharashtra,16203
Apr-2026,40215278,Madhya Pradesh,16192
Apr-2026,40204417,Delhi Division,16168
Apr-2026,40204569,Uttar Pradesh,16145
Apr-2026,40217582,Uttar Pradesh,16145
Apr-2026,40197992,Madhya Pradesh,16133
Apr-2026,40216084,Bihar,16121
Apr-2026,40213770,Uttar Pradesh,16111
Apr-2026,40192907,Uttar Pradesh,16098
Apr-2026,40207766,Maharashtra,16085
Apr-2026,40203613,Uttar Pradesh,16073
Apr-2026,40219282,Bihar,16061
Apr-2026,40219537,Maharashtra,16049
Apr-2026,40213887,Uttar Pradesh,16038
Apr-2026,40190681,Uttar Pradesh,16037
Apr-2026,40191345,Uttar Pradesh,16025
Apr-2026,40211008,Uttar Pradesh,16014
Apr-2026,40213559,Uttar Pradesh,16001
Apr-2026,40196518,Uttar Pradesh,15980
Apr-2026,40198591,Uttar Pradesh,15978
Apr-2026,40215993,Maharashtra,15966
Apr-2026,40218325,Uttar Pradesh,15966
Apr-2026,40211024,Delhi Division,15965
Apr-2026,40194675,Madhya Pradesh,15954
Apr-2026,40210075,Rajasthan,15954
Apr-2026,40210768,Bihar,15954
Apr-2026,40209346,Uttar Pradesh,15943
